cid,smiles
3611,CC(C)C1=CC(=O)C(=CC=C1)O
3776,CC(C)O
3893,CCCCCCCCCCCC(=O)O
4133,COC(=O)C1=CC=CC=C1O
4276,COC1=CC(=CC2=C1OCO2)CC=C
5054,C1=CC(=CC(=C1)O)O
5143,C1=CC=C2C(=C1)C(=O)NS2(=O)=O
5144,C=CCC1=CC2=C(C=C1)OCO2
5281,CCCCCCCCCCCCCCCCCC(=O)O
5541,CC(=O)OCC(COC(=O)C)OC(=O)C
5610,C1=CC(=CC=C1CCN)O
5634,C=CCCCCCCCCC(=O)O
738,C(CC(=O)N)C(C(=O)O)N
5971,C=CCN=C=S
1101,C(C(C(C(C(=O)CO)O)O)O)O
6050,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC
6054,C1=CC=C(C=C1)CCO
6184,CCCCCC=O
6276,CCCCCO
791,CCC(C)C(C(=O)O)N
6341,CCN
6343,CCS
6363,CC(C)N
6364,CC(C)S
6386,CC(C)(C)O
6387,CC(C)(C)S
6405,CCC(C)(C)O
6425,CC(C)(C(C)(C)O)O
6448,CC(=O)OC1CC2CCC1(C2(C)C)C
240121,CC1CCC2C13CCC(C(C3)C2(C)C)(C)OC(=O)C
6493,CCC(C)(CC)O
6501,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2
6505,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C
6506,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O
6507,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)O
6532,CC(C)C(=O)OC(C)(CCC=C(C)C)C=C
6544,CC1=CC(=O)CC(C1)(C)C
6548,CCC(C)(CCCC(C)C)O
6549,CC(=CCCC(C)(C=C)O)C
6558,CC(C)CN
6560,CC(C)CO
6561,CC(C)C=O
6568,CCC(C)O
6569,CCC(=O)C
6570,CC(=O)C=C
6584,CC(=O)OC
6590,CC(C)C(=O)O
6616,CC1(C2CCC(C2)C1=C)C
6631,CC1CCC(CC1)C(C)(C)OC(=O)C
6654,CC1=CCC2CC1C2(C)C
6658,CC(=C)C(=O)OC
6736,CC1=CNC2=CC=CC=C12
6753,CC1=C(C=C(C(=C1[N+](=O)[O-])OC)C(C)(C)C)[N+](=O)[O-]
6826,CNC1=CC=CC=C1C(=O)OC
6873,CC(C)COC(=O)C1=CC=CC=C1O
6874,CC(C)CCOC(=O)C1=CC=CC=C1O
6877,CCOC(=O)C1=CC=CC=C1N
6885,C1C2=CC=CC=C2C(=O)O1
6915,CCC(CC)C(=O)O
6919,C1=COC(=C1)C(=O)O
6937,CC1=CC(=C(C=C1)C(C)(C)C)O
6943,CC(C)C1=CC=CC=C1O
6949,CC1CCC(=C(C)C)CC2=C1CCC2C
6970,CC1CCC(C(C1)OC(=O)C2=CC=CC=C2O)C(C)C
6985,CC1=CC(=C(C=C1)C(=O)C)C
6987,CC1=CC(=O)C(CC1)C(C)C
6989,CC1=CC(=C(C=C1)C(C)C)O
6998,C1=CC=C(C(=C1)C=O)O
7002,CC1=CC=CC2=CC=CC=C12
7041,COC1=C(C(=CC=C1)OC)O
7043,COC1=CC=CC=C1OC
7047,C1=CC=C2C(=C1)C=CC=N2
7055,CC1=CC2=CC=CC=C2C=C1
7058,C1=CC=C2C=C(C=CC2=C1)S
7059,CC1=CC2=C(C=C1)N=CC=C2
7092,CC1=CC2=C(C=C1)OC(=O)C=C2
7095,C1=CC=C(C=C1)C2=CC=CC=C2
7119,COC1=CC2=CC=CC=C2C=C1
7122,CC(=O)C1=CC2=CC=CC=C2C=C1
7127,COC1=C(C=C(C=C1)CC=C)OC
7129,CCOC1=CC2=CC=CC=C2C=C1
7130,CC(C)CC1=NC2=CC=CC=C2C=C1
7136,CC(=O)OC1=C(C=C(C=C1)CC=C)OC
7144,CC1=CC(=C(C=C1)O)OC
7146,CC(C=O)C1=CC=CC=C1
7147,CCC(C1=CC=CC=C1)O
7148,CCC(=O)C1=CC=CC=C1
7150,COC(=O)C1=CC=CC=C1
7151,COC(=O)C1=CN=CC=C1
7165,CCOC(=O)C1=CC=CC=C1
7166,CC(=O)CC(=O)C1=CC=CC=C1
7169,C1=CC=C(C=C1)C(=O)OC2=CC=CC=C2
7170,CCOC(=O)CC(=O)C1=CC=CC=C1
7175,CCCOC(=O)C1=CC=C(C=C1)O
7184,CCCCOC(=O)C1=CC=C(C=C1)O
7193,CC(C)CCOC(=O)C1=CC=CC=C1
7194,C1=CC=C(C=C1)CCOC(=O)C2=CC=CC=C2
7222,C1=CC=C2C(=C1)N=CS2
7224,CC1=CC2=CC=CC=C2N1
7225,CC1=NC2=CC=CC=C2O1
7249,CC1=C(C=C(C=C1)O)C
7267,CC1=CC(=C(C=C1)C)O
7284,CCC(C)C=O
7288,CCC(=O)CC
7302,C1CC(=O)OC1
7304,CN1C=CC=C1
7335,CC1=CCC(CC1OC(=O)C)C(=C)C
7342,CCOC(=O)C(C)C
7344,CCOC(=O)C(C)O
7351,CC(C)COC(=O)C(C)C
7353,CCCCOC(=O)C(C)C
7358,CCC(CC)CO
7359,CCC(CC)C=O
7360,C1CC(OC1)CO
7362,C1=COC(=C1)C=O
7363,C1=COC(=C1)CS
7364,C1=CSC(=C1)C=O
7391,CC(C)(C)C1CCC(CC1)O
7392,CC(C)(C)C1CCC(=O)CC1
7393,CC(C)(C)C1=CC=C(C=C1)O
7409,CC(C1=CC=CC=C1)O
7410,CC(=O)C1=CC=CC=C1
7413,C1CCC(CC1)C(=O)O
7438,CC1=CCC(CC1O)C(=C)C
7455,CC1=CC=C(C=C1)C(=O)OC
7460,CC1=CCC(C=C1)C(C)C
7461,CC1=CCC(=CC1)C(C)C
7462,CC1=CC=C(CC1)C(C)C
7463,CC1=CC=C(C=C1)C(C)C
7465,CC(C)C1=CC=C(C=C1)O
7469,CC(=O)C1=CC=C(C=C1)O
7476,CC(=O)C1=CC=C(C=C1)OC
7478,COC1=CC=C(C=C1)C(=O)O
7501,C=CC1=CC=CC=C1
7509,C1=CC=C(C=C1)CS
7519,COC1=CC=CC=C1
7520,CSC1=CC=CC=C1
7523,CCC1=CC=CC=N1
7530,CC1=CC(=CC=C1)OC
7531,CC(C)(CC1=CC=CC=C1)O
7559,COC(=O)CC1=CC=CC=C1
7562,C1COC(O1)CC2=CC=CC=C2
7580,C1=CC=C(C=C1)CC2=CC=CC=C2
7583,C1=CC=C(C=C1)OC2=CC=CC=C2
7590,CCOC(=O)CC1=CC=CC=C1
7593,C1=CC=C(C=C1)CC(=O)CC2=CC=CC=C2
7599,COC1=CC=C(C=C1)COC(=O)CC2=CC=CC=C2
7600,CC(C)CCOC(=O)CC1=CC=CC=C1
7601,C1=CC=C(C=C1)CCOC(=O)CC2=CC=CC=C2
7616,CCCN(CCC)CCC
7632,CC(C)(CCC1=CC=CC=C1)O
7633,CC(=O)OC(C)(C)CCC1=CC=CC=C1
7635,CCCCC(CC)COC(=O)C
7643,COC(=O)CCC1=CC=CC=C1
7646,CC(C)C(=O)OCC1=CC=CC=C1
7650,CCCC(=O)OCC1=CC=CC=C1
7651,CC(C)CC(=O)OCC1=CC=CC=C1
7654,CC(=O)OCCC1=CC=CC=C1
7655,CC(C)C(=O)OCCC1=CC=CC=C1
7657,C1=CC=C(C=C1)COCC2=CC=CC=C2
7658,CCCC(=O)OCCC1=CC=CC=C1
7662,CC(C)C(=O)OCCCC1=CC=CC=C1
7685,CC1=CC=C(C=C1)OC(=O)C(C)C
7695,CC(=O)OCC1=CC=C(C=C1)OC
7702,CCCC1=CC=C(C=C1)OC
7704,CCCCC1CCC(=O)O1
7707,C1=CC=C(C=C1)CCC=O
7708,C1=CC=C(C=C1)COC=O
7711,C1=CC=C(C=C1)CCOC=O
7720,CCCCC(CC)CO
7725,CC1=CC=C(C=C1)C=O
7728,CCC1=CN=C(C=C1)C
7731,CC1=CC=C(C=C1)OC
7733,CC(C)COC(=O)CCC1=CC=CO1
7738,COC1=CC=C(C=C1)CO
7742,CCCC1CCC(=O)O1
7749,CCC(=O)OCC
7755,CCC(C)CC(=O)O
7757,CC(=O)CC(=O)OC
7758,CCC(C)OC(=O)C
7761,CCOC(=O)CC(=O)OCC
7762,CCCC(=O)OCC
7765,CCOC(C)OCC
7768,C1CCC(=O)NCC1
7770,CCCC(=O)OCCC
7771,CC1=CC(=C(C=C1)O)C
7772,CCC(=O)OCCC(C)C
7775,CCCCCC(=O)OCC(C)C
7778,CC(CCC=C(C)C)CCOC=O
7781,CCC(=O)OCCC(C)CCCC(=C)C
7790,CCCOC(=O)CCCCC(=O)OCCC
7792,CC(C)CCCC(C)CCO
8842,CC(CCC=C(C)C)CCO
7795,CCCC(=O)OCCC(C)C
7797,CCCCCCC(=O)OCC
7799,CCCCCCCC(=O)OCC
7800,CCCCCCCCCCCC(=O)OCC
7802,CCCCC(=O)CC
7803,CCCOC(=O)CC
7820,COC(=O)CCC(=O)OC
7824,CCCCCC(=O)OC
7826,CCCCCCC(=O)OC
7847,C=CC=O
7848,CCCS
7858,C=CCO
7860,C(=O)C=O
7865,COC=O
7888,CC(CCCC(C)(C)O)CC=O
7895,CCCC(=O)C
7909,CC(C)CC(=O)C
7910,CC(C)CC(C)O
7915,CC(C)OC(=O)C
7916,CC(=C)OC(=O)C
7921,CC1CCC(=O)O1
7936,CC1=CC(=NC=C1)C
7937,CC1=NC(=CC=C1)C
7938,CC1=CN=CC(=N1)C
7943,COC(=O)CC(=O)OC
7945,CCOC(=O)CC(C)C
7957,CC(C)CC(CC(C)C)O
7958,CC(C)CC(=O)CC(C)C
7959,CC(C)CC(C)OC(=O)C
7966,C1CCC(CC1)O
7967,C1CCC(=O)CC1
7969,C1=CC=C(C=C1)S
7974,CC1CCCCN1
7975,CC1=CC=CC=N1
7976,CC1=NC=CN=C1
7981,CCCCOC(=O)CC(C)C
7983,CCCCOC(=O)CCC
7984,C1CCCCCCCC(=O)OCCCCCCC1
7986,CCCCOC(=O)CCCCCCCCC(=O)OCCCC
7989,CC(=O)CCC=C
7991,CCCCC(=O)O
7997,CCCOC(=O)C
8007,CCCCN
8012,CCCCS
8013,C(CS)CS
8021,CCNCC
8025,CCOC=O
8026,CCON=O
8027,C1=CNC=C1
8029,C1=COC=C1
8030,C1=CSC=C1
8038,CC(C)COC(=O)C
8042,CCCCCCCCCCCCCC(=O)OC(C)C
8047,CCCCCCCCCCCCCC(=O)OCCCC
8048,CCCCCCCCCC(=O)OCC
8049,CCOC(=O)CCCCCCCCC(=O)OCC
8050,CCCCCCCCCC(=O)OC
8051,CCCCCC(=O)C
8052,CC(C)CCOC=O
8060,CCCCCN
8063,CCCCC=O
8067,CCCCCS
8073,CCCOC=O
8077,CCSSCC
8082,C1CCNCC1
8091,CCCCCCCC(=O)OC
8092,CCCCCC#CC(=O)OC
8093,CCCCCCC(=O)C
8094,CCCCCCC(=O)O
8102,CCCCCCN
8103,CCCCCCO
8106,CCCCCCS
8116,C=CCOCCO
8118,CCCSCCC
8121,CC(=O)OCCOC(=O)C
8122,CCCCCCCCCCCCCCCCCC(=O)OCC
8129,CCCCCCCO
8130,CCCCCCC=O
8137,CCCCCCC#CC(=O)OC
8138,COC(=O)CCCCCCCCC=C
8144,CCCCCCCCS
8158,CCCCCCCCC(=O)O
8159,CCCCCCCOC(=O)C
8163,CCCCCCCCCC(=O)C
8164,CCCCCCCCOC(=O)C
8167,CCCCCCCCCCOC(=O)C
8169,CCCCCCCOC=O
8174,CCCCCCCCCCO
8175,CCCCCCCCCC=O
8176,CCCCCCCCOC=O
8180,CCCCCCCCCCC(=O)O
8181,CCCCCCCCCCCCCCCC(=O)OC
8185,C=CCCCCCCCCCO
8186,CCCCCCCCCCC=O
8187,C=CCCCCCCCCC=O
8193,CCCCCCCCCCCCO
8194,CCCCCCCCCCCC=O
8195,CCCCCCCCCCCCS
8201,CCCCCCCCCCCCCCCCCC(=O)OC
8205,CCCCCCCCCCCCOC(=O)C
8207,CCCCCCCCCCCCCO
8209,CCCCCCCCCCCCCCO
8222,CCCCCCCCCCCCCCCCCCCC
8257,CC(C)(C=C)O
8294,CC(=CCCC(C)(C=C)OC(=O)C)C
8298,CC1CC(CC(C1)(C)C)O
8299,CC(=O)CO
8314,CCC(C)C(=O)O
8347,CC1CC(C=C(C2C1CC(=C(C)C)C2)C)OC(=O)C
8361,C1=CC=C(C=C1)OC(=O)C2=CC=CC=C2O
8363,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2O
8365,CCOC(=O)C1=CC=CC=C1O
8369,CC1=C(C(=O)C=CO1)O
8375,CC(=O)C1=CC=CC=C1O
8400,C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O
8405,C1=CC=C2C=NC=CC2=C1
8419,COC1=C(C=C(C=C1)C=O)OC
8438,C1OC2=C(O1)C=C(C=C2)C=O
8452,C1CCC(=O)C1
8467,CCOC1=C(C=CC(=C1)C=O)O
8468,COC1=C(C=CC(=C1)C(=O)O)O
8471,CCN(CC)CC
8499,COC1=CC=C(C=C1)C(=O)OC
8500,CC1=CC=C(C=C1)C(=O)C
8635,COC(=O)C1=CC=CC=C1N
8655,COC1=CC(=CC(=C1O)OC)C=O
8658,COC1=CC=CC=C1C=O
8698,CCCCOC(=O)C1=CC=CC=C1
8712,CC1=CC=CC=C1S
8723,CCC(C)CO
8738,CCCCOC(=O)C(C)O
8748,CC(=C)C1CCC(CC1)(C)O
8763,CCC(=O)OCC(COC(=O)CC)OC(=O)CC
8767,CC(CCC=C(C)C)CCOC(=O)CC1=CC=CC=C1
8768,C1=CC(=C(C=C1C=O)O)O
8785,CC(=O)OCC1=CC=CC=C1
8791,CCCCCCCCCCCC(=O)OCC1=CC=CC=C1
8792,CC(C)CC(=O)OCCC1=CC=CC=C1
8797,CC1=CC=C(C=C1)OC(=O)C
8815,COC1=CC=C(C=C1)CC=C
8821,CCOC(=O)C=C
8833,CC(CCCC(=C)C)CCOC(=O)C
8834,CCC(=O)OCCC(C)CCC=C(C)C
8835,CCCC(=O)OCCC(C)CCC=C(C)C
8857,CCOC(=O)C
8858,CC(=CC(=O)C)C
8863,CC(CCCC(C)(C)O)CC(OC)OC
8868,CCOC(=O)CC(=O)C
8878,CCCCCCC(=O)OCC=C
8892,CCCCCC(=O)O
8908,CCCCCCOC(=O)C
8909,CCCCOCCCC
8914,CCCCCCCCCO
8918,CCCCCCCCCOC(=O)C
9007,COC1=CC=CC(=C1)O
9012,C1=CC=C(C=C1)CSSCC2=CC=CC=C2
9015,COC1=CC=C(C=C1)O
9016,COC1=CC=C(C=C1)OC
9017,CC(CCC=C(C)C)CCOC(=O)C
9024,CC(=O)OC(C)(C)CC1=CC=CC=C1
9025,COC1=CC(=CC=C1)OC
9027,CCC(C)CCC(C)(CC)O
9256,C1=CSC=N1
9261,C1=CN=CC=N1
9473,CC(=O)OCC1=CC2=C(C=C1)OCO2
9589,CC(=O)C1=CN=CC=C1
9609,CCSCC
9862,CC(=CCCC(=O)C)C
9895,CC1=C(C(CCC1)(C)C)C=O
10106,CC(C)C12CCC(O1)(CC2)C
10223,CC1=CC2C(CCC(=C2CC1)C)C(C)C
10248,COC1=CC(=CC(=C1OC)OC)CC=C
10282,CC1=CC(C(CC1)C(C)C)O
10285,CC1=CC=NC2=CC=CC=C12
10315,CCCC(=O)C1=CC=CC=C1
10322,C1OC2=C(O1)C=C(C=C2)CO
10341,C1C=CC(=O)O1
10353,CC1CCC(CC1)C(C)(C)O
10362,CC1CCC(CC1=O)C(C)C
10364,CC1=C(C=C(C=C1)C(C)C)O
10393,C1=CC(=CC=C1CCO)O
10396,CCCCCCCCCCCCCCC1CCC(=O)O1
10402,CC(CCC=C(C)C)CC(=O)O
10408,CC(C)CCCC(C)CCCC(C)CCCC(=O)C
10430,CC(C)CC(=O)O
10448,CSCCCO
10452,C1CSCCS1
10453,CC(C)CCCC(C)CCCC(C)CCCC(C)(C=C)O
10460,CCCC=CC=O
10484,CC(=O)S
10558,CC(C)CS
10560,CCC(C)S
10582,CC1(C2CC=C(C1C2)CO)C
10659,COC1=C2C(=C(C(=C1)CC=C)OC)OCO2
10687,CC1=C(C(=CC=C1)O)C
10698,CC1=CC(=C(C(=C1)C)O)C
10722,CC1=CC=CC=C1C=O
10778,CC1=CC=CC=C1OC(=O)C
10795,CC(OC)OC
10797,CC1=CC=CO1
10817,CC1=CC=C(C=C1)C(C)O
10819,CC(=C)C1CCC(=CC1)CO
10823,CCC1=CN=CC=C1
10869,COCC1=CC=CC=C1
10873,CCOCC1=CC=CC=C1
10882,CCCCC(=O)OCC
10883,CCOC(=O)CCC(=O)C
10885,CCCC(=O)OCC(C)C
10886,CCCCCC(=O)OCCCCC
10895,CCC(=O)OCC(C)C
10902,C(CS)S
10925,CC(C)CCS
10931,CC(=CC(=O)O)C
10934,CC1=CSC(=N1)C
10947,CC1CCCCCCCCCCCCC(=O)C1
10957,CC(C)COC=O
10966,CCN=C=S
10975,CC(C)(CCCC(=C)C=C)O
10976,CCCCCC(C)O
11002,CCCCSCCCC
11005,CCCCCCCCCCCCCC(=O)O
11038,CC1C2CC(C2(C)C)CC1=O
11039,CC(C)C(=O)OC
11086,CC(=O)C1=CC=CC=C1N
11124,CCC(=O)OC
11126,CC1=CC=CS1
11160,CC(C)CC(=O)OC
11167,CN=C=S
11173,CC(=CCO)C
11176,CCCOC(=O)CC(C)C
11230,CC1=CCC(CC1)(C(C)C)O
11251,CC(C)C(=O)C
11265,CCC(=O)C(C)C
11335,CC1=C(C(=CC=C1)C)O
11340,CC1=CC=CC=C1C(=O)C
11363,CC(=O)C(=O)C1=CC=CC=C1
11406,C=CCOC(=O)C1=CC=CC=C1
11409,CCCCOC(=O)C1=CC=CO1
11419,CC1CCCCC1=O
11428,CCC(CC)O
11449,CCCCCC(=O)C(=O)C
11463,CC1=CCC(=C(C)C)CC1
11468,CC(C)C1=CCC(CC1)(C)O
11505,CC1=CC=C(C=C1)CO
11508,CCC(C)CCO
11509,CCCC(=O)CC
11513,CCCC(CCC)O
11514,CC(C)CC(=O)OCC(C)C
11517,CCCCCCCC(=O)OCCCC
11520,CCCCC(CC)O
11525,CC1CCC(=O)CC1
11527,CCCCCC(CC)O
11529,CCCCOC(=O)CC
11543,CCCC(C)(C)O
11552,CC(C)CC=O
11559,CC1=CCC(=O)O1
11567,CC1CCCC(=O)C1
11569,COC1=CC=CC(=C1)C=O
11576,CCCCOC(=O)CC(=O)C
11579,CC(=O)CCC(=O)O
11583,CCCCC(=O)C
11593,CC(=O)COC(=O)C
11613,CCCCN=C=S
11614,CCCCOC=O
11617,C=CCSCC=C
11622,CCCCCCCCCCCC(=O)C
11732,CC(C)C(C)O
11747,CCC(=O)C(=O)C
11838,CC(C)OC(=O)C1=CC=CC=C1O
11902,COC(=O)C1=CC=CO1
11980,CCOC(=O)C1=CC=CO1
11982,CCCOC(=O)C1=CC=CO1
11989,CSC1=NC2=CC=CC=C2S1
12020,CCC(C=C)O
12038,CCOC(=O)C1=CC(=C(C=C1)O)OC
12041,CCOC(=O)C(=O)C
12044,CC(C)C(=O)OC(C)C
12053,CC(C)(C1=CC=CC=C1)O
12072,CC1CCC(CC1O)C(=C)C
12097,CC1=CC=C(O1)C=O
12101,CCC1=CC(=CC=C1)O
12105,CC1=CC(=CC=C1)C=O
12146,CC(=O)OC1CCCCC1
12150,CCOC1=CC=C(C=C1)O
12170,CC(=O)OCC1=CC=CO1
12178,CCCC(CC)O
12180,CCCC(=O)OC
12198,CC(COC(=O)C)OC(=O)C
12206,CCCCC(=O)OC
12209,CCC(C)COC(=O)C
12216,CCCCCCC(CC)O
12217,CCCCCOC(=O)CC
12230,CCSC
12232,CSSC
12257,CC(C)OC=O
12264,CC(C)SC(C)C
12266,CC1=CC=C(O1)C
12278,CCCC(C)OC(=O)C
12293,CCCCCC(=O)OCCC
12294,CCCCCC(=O)OCCCC
12296,CC(C)CCCO
12297,CCCCC(C)O
12327,CCCCCCCCCCC(=O)OCC
12329,COC(=O)CCCCC(=O)OC
12339,CCCCSC
12344,CC(C)CCCC(=O)O
12348,CCCCCOC(=O)C
12366,CCCCCCCCCCCCCCCC(=O)OCC
12367,CCCCCCCC(C)O
12377,CCCSSCCC
12386,CCCCSSCCCC
12391,CCCCCCCCCCCCCCC
12506,CC(=O)OCC1CCCO1
12507,COC1=CC=C(C=C1)C=C
12508,CCC(=O)OC(C)C
12514,CC1=CC=C(S1)C
12518,CC1NC(SC(S1)C)C
12529,CCCCCOC=O
12530,CCCCCCCCCCCCC(=O)O
12566,CC1=CC=C(C=C1)C2=CC=CC=C2
12570,CCCC1=CC=CC=C1O
12571,CCCOC(=O)C(C)C
12578,CC(C)C1=CC=C(C=C1)C(=O)C
12580,CCCC1=CC=C(C=C1)O
12587,CC(C)CCC(=O)O
12588,CCCCCCCCCCCCCCCCCC(=O)OCC(C)C
12613,CC(C)CCOC(=O)CC(C)C
12729,CCOC(=O)CCCCCCCCC=C
12741,CCCCCCCCC(=O)C
12748,CC1=CSC=N1
12756,CCC1CCC(=O)O1
12777,CCCC1CCCC(=O)O1
12779,CSSCC1=CC=CC=C1
12780,CC(=O)CCC1=CC=CO1
12810,CCCCCC1CCCC(=O)O1
12813,CCCCCCC1CCC(=O)O1
12844,CCCCCCCC1CCCC(=O)O1
12988,CC(=C)CCO
13016,CSCC1=CC=CC=C1
13187,CCCCCCCC(=O)C
13204,CC1CCCC(=O)O1
13233,CC1(SC(SC(S1)(C)C)(C)C)C
13357,CCC(C)C(=O)OC
13367,C=CCS
13436,C1=CC=C(C=C1)SSC2=CC=CC=C2
13576,CCCCCCCC(=O)CC
13594,C1CC=CC(=O)C1
13642,CCC1=CC=C(C=C1)C(=O)C
13654,CC(C)OC(=O)C1=CC=CC=C1
13663,CC(=O)C1=CC=CC2=CC=CC=C21
13849,CCCCCCCCCCCCCCC(=O)O
13852,C1CC(=O)SC1
13854,C1=CNC(=C1)C=O
14079,CC(=O)C1=CC=CN1
14104,CC1=CC(=C(C=C1)C(C)C)OC
14228,CCCCCCCC(=O)OCCCCCC
14234,CC(C)CC(=O)OC(C=C)C(C)CC=C(C)C
14235,CC(=O)OC(C)(C)CCCC(=C)C=C
14286,CC(=O)C1=CC=CC=N1
14295,CC(CO)C1=CC=CC=C1
14296,CC1=C(N=C(C(=N1)C)C)C
14328,CC(=O)C1=CC(=C(C=C1)OC)OC
14350,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C
14475,CCCCCC(C)C(=O)O
14489,CC(=CCOC(=O)C)C
14491,C(CCCS)CCS
14493,C(CCCCS)CCCS
14505,CC(=O)C1=CC=CO1
14511,CC1=CC(=O)CCC1
14514,CC1=CC=C(O1)C(=O)C
14529,CC1=CC=C(C=C1)C(C)(C)O
14896,CC1(C2CCC(=C)C1C2)C
15037,C1=CN(C=C1)CC2=CC=CO2
15068,CC1=CC(=C(C=C1)O)C(=O)C
15146,CC(CC(=O)OC)O
15271,CCC(C)CCC(=O)O
15290,C1CCC(CC1)S
15336,CCCCCC1OCC(O1)C
15380,CSCSC
15394,CCC(=O)C=C
15395,CCCC(=O)C=C
15413,CC(C)(C)OC
15422,CCCCCCCS
15448,CCCCCCCCCC(C)O
15510,C1CCC(C1)S
15605,CCCCCCCCCCCOC(=O)C
15606,CCCCCCCCC(=O)OC
15607,CCCCCCCCCCC(=O)OC
15613,CC(C)OC(=O)C=C(C)C
15717,C=CCOC(=O)CC1=CC=CC=C1
16237,CCOC(=O)CCC1=CC=CC=C1
16255,CCCCCCCC(=O)OCCC(C)C
16296,CCCCCOC(=O)C1=CC=CC=C1
16299,CCCCCOC(=O)C1=CC=CC=C1O
16315,C=CCSSSCC=C
16324,CCCC(=O)OCC=C
16331,CCCCOC(=O)CCC(=O)C
16418,C=CCCC=O
16441,CC(=C)C1CCC(=CC1)C=O
16537,CC1=CCC(CC1)C(C)(C)OC=O
16582,CC(C)COC1=CC2=CC=CC=C2C=C1
16590,C=CCSSCC=C
16591,CCCSSCC=C
16592,CCCSSC
16617,CCCCCC(=O)OCCC(C)C
16670,CCCCCCCOC(=O)CC
16741,C1=CC=C(C=C1)CCN=C=S
16800,CCCCCC1=CC=CC=N1
16821,CCCCCCCCC1CCC(=O)O1
16832,CCCCCC(=O)OC(C)C
16833,CCCCCCCCCC(=O)OC(C)C
16846,CCCOC(=O)C1=CC=CC=C1
16867,CC1=NCCS1
16872,CCCCCCOC(=O)C(C)C
16899,CCCCCC=CC=CC=O
16925,CC1=NC2=CC=CC=C2N=C1C
16997,CCC1C=CC(=O)O1
17000,CC1CCCC(C1=O)(C)C
17008,CC(C)CCC(=O)OC
17100,CC1=CCC(CC1)C(C)(C)O
17121,CCCCCC(C=C)OC(=O)C
17129,CCC(C)COC(=O)C(C)CC
17166,CCCCCCC=CC=O
